pmid,level 1 inclusion,level 2 inclusion
11958897,TRUE,FALSE
19345516,FALSE,FALSE
17363188,TRUE,FALSE
19875950,FALSE,FALSE
19735866,FALSE,FALSE
11082173,FALSE,FALSE
16168833,TRUE,FALSE
7852108,TRUE,FALSE
10470818,TRUE,FALSE
7558946,TRUE,FALSE
19386442,FALSE,FALSE
15380567,TRUE,FALSE
12206985,TRUE,FALSE
14628125,TRUE,FALSE
16580495,TRUE,FALSE
22360363,FALSE,FALSE
19434365,FALSE,FALSE
12707713,TRUE,FALSE
8040010,TRUE,FALSE
12007939,TRUE,FALSE
19433962,FALSE,FALSE
21112107,FALSE,FALSE
11567813,TRUE,FALSE
17056193,FALSE,FALSE
17116822,TRUE,FALSE
1509070,FALSE,FALSE
20950948,FALSE,FALSE
19319583,FALSE,FALSE
22137019,FALSE,FALSE
21054824,FALSE,FALSE
3350726,TRUE,FALSE
18440726,FALSE,FALSE
10394399,FALSE,FALSE
10847117,TRUE,FALSE
9166552,FALSE,FALSE
12655536,FALSE,FALSE
9217040,FALSE,FALSE
17490770,FALSE,FALSE
21050498,FALSE,FALSE
22436135,FALSE,FALSE
12184409,FALSE,FALSE
16804876,FALSE,FALSE
12242129,TRUE,FALSE
14762662,TRUE,FALSE
2353100,FALSE,FALSE
17379439,TRUE,FALSE
18374507,FALSE,FALSE
8424408,FALSE,FALSE
16734401,FALSE,FALSE
22138457,FALSE,FALSE
21321631,FALSE,FALSE
21300462,FALSE,FALSE
10555005,TRUE,FALSE
16757128,TRUE,FALSE
9308950,TRUE,FALSE
15519783,TRUE,FALSE
19398095,FALSE,FALSE
15655574,FALSE,FALSE
11567809,FALSE,FALSE
17987781,FALSE,FALSE
21768657,FALSE,FALSE
20013087,FALSE,FALSE
22133099,FALSE,FALSE
15790448,FALSE,FALSE
19046826,FALSE,FALSE
20225229,FALSE,FALSE
20815422,FALSE,FALSE
16734403,FALSE,FALSE
20888707,FALSE,FALSE
19156905,FALSE,FALSE
15971308,FALSE,FALSE
14742958,FALSE,FALSE
22284039,FALSE,FALSE
17398027,TRUE,FALSE
17459607,TRUE,FALSE
20934266,FALSE,FALSE
22349042,FALSE,FALSE
6409853,FALSE,FALSE
15062181,FALSE,FALSE
9588918,TRUE,TRUE
15971332,FALSE,FALSE
22046954,FALSE,FALSE
22321201,FALSE,FALSE
20859194,FALSE,FALSE
15122654,FALSE,FALSE
12710874,FALSE,FALSE
